article_id	hh	gender	age_range	read_article_ids
7a6ba503c717	8	f	30-34	"d106cb93a541,fcab1af1f90f,bb30a6b64a09,d52176ab9d07,f87524743d66,afe03f1cc29f,cd461bb48250,4ae8c1da3ccf,8724374382ab,6a5529dedef5,cf79f1e069f0,c2bc6d1a7f9f,392c18adfc92,b160a4942d6a,52bb1ca60201,8342ac3698bc,b1eb68542659,fd37d1caadf8,818390db0a95,add628f859ab,eb31e114aae4,c838f92aa509,1e442d4b3a92,426d73dd0a6f,44d9628e8dc1,73d5f33ba37a,5049d16f8139,c9a8b45e11c0,f1bc4ae1b0e6"
2c54f7d416ba	22	m	-14	nan
73962f0bf6b5	19	m	45-49	"4b03311dacbf,19412f68745b,2f1e2b8ce030,4a9d42b3358e"
c14724f8af97	8	m	20-24	"a112a50656b2,fb4406c1568b,d82a73b0c349,5b8c0c36ae4b,fae297c8f4a5"
33d56bfae208	17	f	15-19	"502e737e3345,666da202d870"
b6fb269aba2c	16	m	20-24	nan
8b0ff466ddf4	1	f	20-24	"d433505ea1d9,7b190a9cca24"
f34a1f1f1abf	11	f	25-29	"795406a6d22e,924aae21871b,1ef5af520303,17323bf81e6f,5fd63080f3d7,d0ff6d85e322,8e84c3126548,152e28ba9d4c,e9cc63ffeb1b,d4703778d3a7,37dd9dbae2e9,8b43d931fc15,c9a8b45e11c0,97da8c306421,afe33c9a928c,a893fc40499f"
ea8521b697ee	20	m	15-19	nan
c85b32ff0ea0	13	f	30-34	"afe03f1cc29f,dc446229921b,3c0e54f79dce"
397ac7fbccb3	17	f	40-44	"40ac4f5b3e8b,88e85a361777"
1200ccaaa954	9	m	20-24	nan
5b73f5efb3ec	10	f	25-29	ec351d10b595
91372e8363a2	6	f	15-19	"b3e4d2287ee9,d3220431d048,e28e7a30ce04,6be0a491a7ec,5f1f48dd23b7,f2bb18c2a7ea,45f89769ae68,f872dfe597be,4e916c0c9102,b58e639944bd,cb3c829aecde,3f064c64b840,c8eca2bfe3e0,8c5e7e376a85,1d15d4546b26,01ec8b5928ff,3caf24b3ff91,ef6566ddb372,ca32aeb80592,fc040e443da0,ab6e638f531c,9d672348b82a,7fe66146c1ba,e268c1716de6,82d734aeb9f5,eb3577f1d210,c2c224e7128d,d5cb33b49a91,a269486fda5d,68395605c680,77606adb8a4a,c25dfac0222a,964025f2e57f,6660ab5944ba,9b06253b3b0a,7f6a628a78ed,236f930e5529,7480005d41f1,66e4be3dfbdc,fdfc50793e1f,0e215841680d,7d4f1dc7cfb4,edfce2bf6976,6f0a63326661,2f99d6ea857e,5790cca08f43,8a93ed67b724,f08d3d888e3e,42b0bc3d279e,4c784b8e241a,0ceb38f44c0d,6ac5017d1382,7608e1c2ecc0,c2d6164af298,380fa91cddb1,4a1081b64c1f,1b72ec822575,415f68b02ba6,ddde26b797e2,cdb55f92705c,bee484114a9b,04248246b43a,57f5e1216c85,b540bce62105,f600c5914659,780c89e21c1d,d3b12e8da547,b23d36fe8f33,04e3fd9101a2,84b7a350f486,1d34856aba9a,d5e47b267f72,7c4bf334bfdb,6903c483ceca,2bc5b4c99b9b,aed13949be8a,5445ff37d042,20376766b9cc,ce8b8fc313f2,f29bfd6bcbd8,911c83e80ba8,853be1bdf8df,83cec5826938,214bf38ad910,d77bf7e41cb2,10f220031b92,f96584dd6455,5d5eb1098959,88b51534ec49,7b46a09ef24d,4a3a1af10681,0e2e8951140c,92096301d962,8201b9ae9004,31a432069133,0b6bd0967e1a,20596258f1c7,396d427922a2,61aec924273b,95b6e8c06553,0e96b23f6faa,0df5840a2fe8,bd9b80e71ba4,76b37191061f,d7a44f87040e,45ed0bdd64ec,aa713ea29a1d,f4039a353607,5b829ed0ab0f,83f58b255ce1,6ba940ff78b0,c8acd98f5854,4de876f4b5e8,701a1d6daa24,0e30b8c9e832,52f7109cfdfd,61b5fb50e18e,25d0a0578003,2fd9d20d2a64,bbf46cc01d05,11540021d1f7,cce605da2561,9233be4e59cd,f1cf9611ba59,372b7186dea2,8fd2c728f982,b7f7c4bca074,89d8a1b0f297,d2383e74bf92,cc7a65d133fe,24dd5ca88f4d,a3ba37861c44,b5a0db21c69a,e434b2e3606c,12b1291b9342,4babb4fbac72,39c453ca81d4,5e401f271611,e2d5b6949334,285ee59df893,a30f84a736d6,ba2f66e83277,b70843d7e9f1,3e5d122a280b,c410213b8048,a918c93a27f4,caddf14e7a44,16506f0fe8c2,45027630b649,11d18ed6253a,e7d8234953af,4420338a5201,7ae667728f21,65df6da2b380,ae8327bc2d9e,d366e1fccc29,15876bc3a0a3,70f1bed5f5be,d3c13e8eb93b,be717f9147c5,d9eea0e6eb74,0190f3be1f6e,099e902e27dd,86a39cf6b0cf,6e434a80c3cb,2f66e5deb145,4a7ae9f2e718,da166cc090bc,2b8c0c82ab6b,9f324f916583,cdc9f7371797,264548a0cd9c,07443f44b099,ecabf118cbc1,f5bf28fa510c,bb1b26e0aded,360bb2889a65,4918b9e5fcaf,e5eddc038dd4,7d3d6ab7740d,8e437a20d995,a219c82738cf,898b9df664d3,e20fd7914a38,aa918dc92177,a5971cc66472"
ed173d87cf27	11	m	50-	nan
72c6a88c3552	8	f	20-24	nan
9d8ef57b6fe7	7	f	15-19	42dc61265af2
4144d5df324d	11	m	50-	nan
a2e16a6693aa	10	m	45-49	"8f82885f3c8c,be102941d6eb"
3b006fc4fe6c	18	m	15-19	"c353deabeed8,f402d0ce0f3e"
33d56bfae208	17	f	15-19	4a1ef2061783
4144d5df324d	12	m	30-34	"5be6717f2645,74d2d22dee10,c256e615e7d3"
6d42b1067dc9	11	f	50-	fe4a0779afa3
4144d5df324d	14	m	25-29	nan
4a6620e1c32c	16	m	20-24	db533c8ba6c5
e9394de05221	10	f	40-44	nan
6d42b1067dc9	11	f	45-49	nan
a5d21b02a3ce	9	m	15-19	nan
80ad213fed16	11	f	40-44	"c494241468d0,5bdf50de15ce,8c468c284624,7bd210d345c9,48332e0e04ed,014e5a13ba7c,ccb4502794d6,0a3808387fdd,15b66a4b3386,76fcd2034f3d,310d49b7ef18,cb95e1525324,78428f405d00,cdcd4a484a1b,ed1b2e8858c7,d9429b567d92,60caa292364d,d8df55e9f0ec,6d4bfa328014,389667ad0748,43d0d29eb5f4,22996c846188,cfaa50f31e31,82d36f804996,3fb633bd4b12,728968b16280,180289913b93,efba118e00c5,c1a1dcac2e85,3b2a54b91ebb,bfe72c3452b4,3b6f517cfb1e,5192e603ba73,fd14d92a6e73"
0ce15d61f967	9	m	20-24	"89c8e8056841,633ae0977c39,679a71b2562c,10fe0bde1eeb,07cdf652606a,050567d6c3bf,020e31182ea8,78d9dd584632,58cc3f2646bf,cb2bfee5bfa2,dfc4d35059dd,934c6a023198,80bda8d27a13,9fffe43269ec,7f4ffbd74167,38cd0d2081b4,7756c73cfab7,389e05f87679,efc9e8d90807,31e8f235517a,3ec8d30390c7,9f93f3d47f90"
a5d21b02a3ce	9	m	15-19	nan
4a822d4b6eb6	18	f	35-39	"d438bf778e33,41cb2e8ff1f2,d6d2224b4f80,8922cd02fd0c,24c2b4082761,011e0fd02c63,774d6b6826ab,a442d024345c,f7a74abf8590,74ac0d3b73fd,b153025b53ee,ce4db25e54c1,7791aa3f944c,08eee2950037,9a2ff4aac727,0c10359c8e72,a47d39118c49,91d31fe89d56,e0736191faeb,3eca01d8a901,00b9f17b34aa,eda41af5c743,a46e99f9e8b3,e77d2429a8dd,a5135e1141a2,d771ae32951c,62ba27d356d2,247a66ae6315,33cf3e913e8f,9a5385f4200b,aff4e13dfaa9,c0b3d2b4fc7e,63efce202b71,ce4574fe0f6a,ee23971636b9,b11e0a6ff3ad,637d0fdf2573,31b0b841f569,3fbb07de8ead,57b27640cc41,8c509de5d957,3f694c73b093,5f08f511df54,038433077d41,6ab00ba07f2a,f25f6cf11ccb,15a345fcc1dc,db7d1d82d21e,42ab7ce5adc4,228e5b191f4e,6562ec602f6c,89f27dfa945a,7f09d8c4922a,8c17afd553f3,828e59e1bd41,3fe68ff673bd,abd8d9b780eb,af4801518742,a2ffb55506ba,73447d015856,bf9278b7d6f2,8dd5a8a9e667,2dccb395286d,29d568a2ffa0,ea3e8e31e9a6,4258a1c28586,df5477c14a8a,f4d5435dd91f,e5fa32475f92,bbb6e4497973,9281d990b453,08de2e249657,d571693a3cca,7f14bbf58bcb,48f660e057ad,5dc9d66ac54b,67f3f2799c34,eecfa07e657a,dbd8218f3733,78ee52031ccf,811772cc4968,ebae8786c552,b42da16ff4cd,06f8d949017e,a4bee92359a1,4dbdf1df1ff5,d79b6a0f9c0b,8172e9379af7,3b9139bb9353,46e8fafa300a,00b664438b09,c8e647a3e7c7,ef6666ee21ac,76ff0da19dab,b68556e07a9f,b2cfe31938c5,26c94698973a,e5a2995f5d8c,624a57b4173d,16fd86aba13e,7dd89c3564bd,132d1d8a4a53,ec58976fbf5f,43aaeb091376,63ea5dc3d0e8,fe2d8720704b,c775ffda38f5,161d0aeb7ba6,e991127a642b,308c474e5f2c,2240903eb4d7,69e30d4d8de0,2cfc070e352f,d3204b84a77b,a92ab6835e88,c0811561d3bc,6e6e4ed88a62,58a33bb6e153,ef12065ba92f,b0df69690909,38238d2bf69a,de120c0c7dfe,014d21640ebb,ba198db6ba9f,bd5fad3e9eef,a3b06d6c6481,300781070bf3,7c18a084e079,62746e2c13d2,6319a163a64c,515bc93abd2f,838c3083fbd7,1ac111bf1a0f,f13da95babc2,1641f6a13875,ecd7c4bf9e0e,701a1d6daa24,3d5fa2bce6d7,52ecbc71c521,1f4ce8cac268,633dd9a98fa8,249bdbe6c639,ec088f7fd1df,57d5deb03d44,f3d27d615ab7,3c31b291073b,660f108231e9,0637984cdcee,eae2fce88e5d,0b3bc36b267d,72d90b684f10,354181e0c547,063cbabe58d2,b3f118dc2c79,1afdb6a33896,103818470ec2,173ce9271ad3,7535791f61cd,d0a7a2d2fdb0,d8d267208c3b,6d47d9a9d350,9e30ac9d1212,603b7ec9e94d,dca47bcc2c3a,66c8d04e772e,c6ec98424036,2123cc964f48,9da83db487b2,9ea8fb9a8360,19dd4d4e9cf8,464894b9b116,f2bfc31051a0,1a65b753ffc0,9945dfa7d62c,a610efa6fbaa,f773629657a7,59c2306b04db,b91ed324332e,87880fee3c0e,e1aa9d7d1b2c,3c21eaf851ca,0dc2030d2674,f96584dd6455"
01e234fed982	12	f	45-49	nan
3d55221e6dc2	10	f	20-24	"81d35b1ffa84,f2ab970d6165,c9a8b45e11c0"
